

Szenario 1


mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:14.286490 - Requirement 4 (local) violated! Voltage on line branch_32 measured by sensor_9 : 10499.38 (!= 10500.39)
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:14.290386 - Requirement 8 violated! Max voltage in sensor_8 should be < 10500.0 but is currently 10500.394
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:15.518062 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:16.734990 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:17.919802 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:18.098182 - Requirement 2 violated! Voltage on bus b19 measured by sensor_17 : 10500.38 (!= 10499.38)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:18.100253 - Requirement 4 (local) violated! Voltage on line branch_38 measured by sensor_22 : 10499.38 (!= 10500.38)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:18.102211 - Requirement 8 violated! Max voltage in sensor_17 should be < 10500.0 but is currently 10500.376
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:19.109453 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:20.389352 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:21.971926 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:23.133803 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:24.461348 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:25.615200 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:26.771451 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:27.932771 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:29.096410 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:30.257535 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [ERROR]: 2022-09-06 10:26:31.441960 - Requirement 1 violated! Sum of incoming current at bus b27 is 0.06, and sum of outgoing current is 0.22












-------------------------



Szenario 3









mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:43.011604 - Error connecting to Modbus Server'testbed:10502'
mosaik_ids_c2      | [LM lm00337e-7ba9-4f95-b8b4-d8cecb11055b] [INFO]: 2022-09-06 10:26:44.030768 - Connected to Modbus Server 'testbed:10503'
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [INFO]: 2022-09-06 10:26:44.039699 - Connected to Modbus Server 'testbed:10502'
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:45.211455 - Requirement 2 violated! Voltage on bus b19 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:45.215038 - Requirement 2 violated! Voltage on bus b19 measured by sensor_16 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:45.218049 - Requirement 2 violated! Voltage on bus b19 measured by sensor_17 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:45.221020 - Requirement 4 (local) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:45.772683 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:45.774946 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:45.776945 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:45.778868 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:45.753333 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:45.756901 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:46.392500 - Requirement 2 violated! Voltage on bus b19 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:46.395222 - Requirement 2 violated! Voltage on bus b19 measured by sensor_16 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:46.397830 - Requirement 2 violated! Voltage on bus b19 measured by sensor_17 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [LM lm008a60-0444-4506-a0f7-3f3bd63a06da] [ERROR]: 2022-09-06 10:26:46.400413 - Requirement 4 (local) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:46.853583 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00eb63-0866-49dc-af71-ec418d5d844f] [ERROR]: 2022-09-06 10:26:46.855845 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.58 (!= 10499.48)
mosaik_ids_c2      | [NM nm00f37c-6e6b-41a5-b2a1-3ebcb1edef31] [ERROR]: 2022-09-06 10:26:46.922275 - Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_14 : 10499.58 (!= 10499.48)
