Last login: Mon Dec  5 21:27:08 on ttys008
kaigrosshanten@MacBook-Pro-10 ~ % cd PycharmProjects/distributed-smart-grid-ids/ids/deployment/
kaigrosshanten@MacBook-Pro-10 deployment % docker compose up neighborhood_monitor_2
[+] Running 1/0
 ⠿ Container mosaik_ids_nm_2  Created                                                                                                                                                                                                        0.0s
Attaching to mosaik_ids_nm_2
mosaik_ids_nm_2  | Last cycle took 0.004704
mosaik_ids_nm_2  | Last cycle took 0.005737
mosaik_ids_nm_2  | Last cycle took 0.004343
mosaik_ids_nm_2  | Last cycle took 0.008664
mosaik_ids_nm_2  | Last cycle took 0.006248
mosaik_ids_nm_2  | Last cycle took 0.006504
mosaik_ids_nm_2  | Last cycle took 0.005131
mosaik_ids_nm_2  | Last cycle took 0.005827
mosaik_ids_nm_2  | Last cycle took 0.005300
mosaik_ids_nm_2  | Last cycle took 0.007002
mosaik_ids_nm_2  | Last cycle took 0.005527
mosaik_ids_nm_2  | Last cycle took 0.007334
mosaik_ids_nm_2  | Last cycle took 0.006887
mosaik_ids_nm_2  | Last cycle took 0.007097
mosaik_ids_nm_2  | Last cycle took 0.005467
mosaik_ids_nm_2  | Last cycle took 0.006829
mosaik_ids_nm_2  | Last cycle took 0.006548
mosaik_ids_nm_2  | Last cycle took 0.005609
mosaik_ids_nm_2  | Last cycle took 0.005365
mosaik_ids_nm_2  | Last cycle took 0.005424
mosaik_ids_nm_2  | Last cycle took 0.004742
mosaik_ids_nm_2  | Last cycle took 0.007059
mosaik_ids_nm_2  | Last cycle took 0.004656
mosaik_ids_nm_2  | Last cycle took 0.007031
mosaik_ids_nm_2  | Last cycle took 0.005882
mosaik_ids_nm_2  | Last cycle took 0.004827
mosaik_ids_nm_2  | Last cycle took 0.004463
mosaik_ids_nm_2  | Last cycle took 0.004799
mosaik_ids_nm_2  | Last cycle took 0.003792
mosaik_ids_nm_2  | Last cycle took 0.003923
mosaik_ids_nm_2  | Last cycle took 0.006605
mosaik_ids_nm_2  | Last cycle took 0.005459
mosaik_ids_nm_2  | Last cycle took 0.007628
mosaik_ids_nm_2  | Last cycle took 0.005172
mosaik_ids_nm_2  | Last cycle took 0.008310
mosaik_ids_nm_2  | Last cycle took 0.005283
mosaik_ids_nm_2  | Last cycle took 0.004663
mosaik_ids_nm_2  | Last cycle took 0.004323
mosaik_ids_nm_2  | Last cycle took 0.008629
mosaik_ids_nm_2  | Last cycle took 0.007310
mosaik_ids_nm_2  | Last cycle took 0.006415
mosaik_ids_nm_2  | Last cycle took 0.005349
mosaik_ids_nm_2  | Last cycle took 0.006695
mosaik_ids_nm_2  | Last cycle took 0.005550
mosaik_ids_nm_2  | Last cycle took 0.004591
mosaik_ids_nm_2  | Last cycle took 0.004270
mosaik_ids_nm_2  | Last cycle took 0.006990
mosaik_ids_nm_2  | Last cycle took 0.005214
mosaik_ids_nm_2  | Last cycle took 0.007709
mosaik_ids_nm_2  | Last cycle took 0.005155
mosaik_ids_nm_2  | Last cycle took 0.006966
mosaik_ids_nm_2  | Last cycle took 0.004669
mosaik_ids_nm_2  | Last cycle took 0.007100
mosaik_ids_nm_2  | Last cycle took 0.004822
mosaik_ids_nm_2  | Last cycle took 0.007497
mosaik_ids_nm_2  | Last cycle took 0.005152
mosaik_ids_nm_2  | Last cycle took 0.008013
mosaik_ids_nm_2  | Last cycle took 0.005506
mosaik_ids_nm_2  | Last cycle took 0.007581
mosaik_ids_nm_2  | Last cycle took 0.004922
mosaik_ids_nm_2  | Last cycle took 0.007852
mosaik_ids_nm_2  | Last cycle took 0.005025
mosaik_ids_nm_2  | Last cycle took 0.008561
mosaik_ids_nm_2  | Last cycle took 0.004888
mosaik_ids_nm_2  | Last cycle took 0.007390
mosaik_ids_nm_2  | Last cycle took 0.004830
mosaik_ids_nm_2  | Last cycle took 0.007993
mosaik_ids_nm_2  | Last cycle took 0.004694
mosaik_ids_nm_2  | Last cycle took 0.008524
mosaik_ids_nm_2  | Last cycle took 0.005088
mosaik_ids_nm_2  | Last cycle took 0.005041
mosaik_ids_nm_2  | Last cycle took 0.004173
mosaik_ids_nm_2  | Last cycle took 0.006793
mosaik_ids_nm_2  | Last cycle took 0.008281
mosaik_ids_nm_2  | Last cycle took 0.004927
mosaik_ids_nm_2  | Last cycle took 0.008874
mosaik_ids_nm_2  | Last cycle took 0.005324
mosaik_ids_nm_2  | Last cycle took 0.010313
mosaik_ids_nm_2  | Last cycle took 0.005614
mosaik_ids_nm_2  | Last cycle took 0.006769
mosaik_ids_nm_2  | Last cycle took 0.005558
mosaik_ids_nm_2  | Last cycle took 0.008477
mosaik_ids_nm_2  | Last cycle took 0.006575
mosaik_ids_nm_2  | Last cycle took 0.007655
mosaik_ids_nm_2  | Last cycle took 0.005724
mosaik_ids_nm_2  | Last cycle took 0.006927
mosaik_ids_nm_2  | Last cycle took 0.005865
mosaik_ids_nm_2  | Last cycle took 0.007550
mosaik_ids_nm_2  | Last cycle took 0.005576
mosaik_ids_nm_2  | Last cycle took 0.007028
mosaik_ids_nm_2  | Last cycle took 0.006123
mosaik_ids_nm_2  | Last cycle took 0.007295
mosaik_ids_nm_2  | Last cycle took 0.005581
mosaik_ids_nm_2  | Last cycle took 0.007299
mosaik_ids_nm_2  | Last cycle took 0.005676
mosaik_ids_nm_2  | Last cycle took 0.004936
mosaik_ids_nm_2  | Last cycle took 0.003766
mosaik_ids_nm_2  | Last cycle took 0.006688
mosaik_ids_nm_2  | Last cycle took 0.006154
mosaik_ids_nm_2  | Last cycle took 0.005825
mosaik_ids_nm_2  | Last cycle took 0.004369
mosaik_ids_nm_2  | Last cycle took 0.010180
mosaik_ids_nm_2  | Last cycle took 0.005180
mosaik_ids_nm_2  | Last cycle took 0.007491
mosaik_ids_nm_2  | Last cycle took 0.005101
mosaik_ids_nm_2  | Last cycle took 0.007296
mosaik_ids_nm_2  | Last cycle took 0.006079
mosaik_ids_nm_2  | Last cycle took 0.006226
mosaik_ids_nm_2  | Last cycle took 0.007362
mosaik_ids_nm_2  | Last cycle took 0.003992
mosaik_ids_nm_2  | Last cycle took 0.005671
mosaik_ids_nm_2  | Last cycle took 0.005057
mosaik_ids_nm_2  | Last cycle took 0.005905
mosaik_ids_nm_2  | Last cycle took 0.004869
mosaik_ids_nm_2  | Last cycle took 0.006055
mosaik_ids_nm_2  | Last cycle took 0.004706
mosaik_ids_nm_2  | Last cycle took 0.004375
mosaik_ids_nm_2  | Last cycle took 0.003939
mosaik_ids_nm_2  | Last cycle took 0.005038
mosaik_ids_nm_2  | Last cycle took 0.004293
mosaik_ids_nm_2  | Last cycle took 0.004139
mosaik_ids_nm_2  | Last cycle took 0.003862
mosaik_ids_nm_2  | Last cycle took 0.007402
mosaik_ids_nm_2  | Last cycle took 0.005162
mosaik_ids_nm_2  | Last cycle took 0.005337
mosaik_ids_nm_2  | Last cycle took 0.005975
mosaik_ids_nm_2  | Last cycle took 0.006034
mosaik_ids_nm_2  | Last cycle took 0.006983
mosaik_ids_nm_2  | Last cycle took 0.004374
mosaik_ids_nm_2  | Last cycle took 0.006345
mosaik_ids_nm_2  | Last cycle took 0.005574
mosaik_ids_nm_2  | Last cycle took 0.006257
mosaik_ids_nm_2  | Last cycle took 0.004327
mosaik_ids_nm_2  | Last cycle took 0.006937
mosaik_ids_nm_2  | Last cycle took 0.005052
mosaik_ids_nm_2  | Last cycle took 0.005709
mosaik_ids_nm_2  | Last cycle took 0.004446
mosaik_ids_nm_2  | Last cycle took 0.005814
mosaik_ids_nm_2  | Last cycle took 0.004379
mosaik_ids_nm_2  | Last cycle took 0.005061
mosaik_ids_nm_2  | Last cycle took 0.005022
mosaik_ids_nm_2  | Last cycle took 0.005311
mosaik_ids_nm_2  | Last cycle took 0.004504
mosaik_ids_nm_2  | Last cycle took 0.005515
mosaik_ids_nm_2  | Last cycle took 0.004506
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.47 (!= 10499.58)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_31 measured by sensor_11 : 10499.47 (!= 10499.58)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.47 (!= 10499.58)
mosaik_ids_nm_2  | Last cycle took 0.007473
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.47 (!= 10499.58)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_31 measured by sensor_11 : 10499.47 (!= 10499.58)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.47 (!= 10499.58)
mosaik_ids_nm_2  | Last cycle took 0.005437
mosaik_ids_nm_2  | Last cycle took 0.005737
mosaik_ids_nm_2  | Last cycle took 0.004710
mosaik_ids_nm_2  | Last cycle took 0.004893
mosaik_ids_nm_2  | Last cycle took 0.004921
mosaik_ids_nm_2  | Last cycle took 0.005254
mosaik_ids_nm_2  | Last cycle took 0.004832
mosaik_ids_nm_2  | Last cycle took 0.004922
mosaik_ids_nm_2  | Last cycle took 0.004223
mosaik_ids_nm_2  | Last cycle took 0.005534
mosaik_ids_nm_2  | Last cycle took 0.004128
